x,y,z
2.933944749832153320e+03,1.033237190246582031e+04,1.143943548202514648e+03
2.979198265075683594e+03,1.016097660064697266e+04,1.324319839477539062e+03
3.020970153808593750e+03,1.000610466003417969e+04,1.492686986923217773e+03
3.057270574569702148e+03,9.858749580383300781e+03,1.654055118560791016e+03
3.091272878646850586e+03,9.708461952209472656e+03,1.805102229118347168e+03
3.122690963745117188e+03,9.562996578216552734e+03,1.949007987976074219e+03
3.154826211929321289e+03,9.424569320678710938e+03,2.085182189941406250e+03
3.186435270309448242e+03,9.292633724212646484e+03,2.214533090591430664e+03
3.217062282562255859e+03,9.166585159301757812e+03,2.337069988250732422e+03
3.247215080261230469e+03,9.047425460815429688e+03,2.454355239868164062e+03
3.275674152374267578e+03,8.929347229003906250e+03,2.565855741500854492e+03
3.303088474273681641e+03,8.817419242858886719e+03,2.673104047775268555e+03
3.329576539993286133e+03,8.708653163909912109e+03,2.775736093521118164e+03
3.354849863052368164e+03,8.602595996856689453e+03,2.873584270477294922e+03
3.379053401947021484e+03,8.500417423248291016e+03,2.966931104660034180e+03
3.403150367736816406e+03,8.403006267547607422e+03,3.056782245635986328e+03
3.425806570053100586e+03,8.305785846710205078e+03,3.142147064208984375e+03
3.448032188415527344e+03,8.213249397277832031e+03,3.224876880645751953e+03
3.469666290283203125e+03,8.122101497650146484e+03,3.304192543029785156e+03
3.490267086029052734e+03,8.032556724548339844e+03,3.380043029785156250e+03
3.510654020309448242e+03,7.946989727020263672e+03,3.453037977218627930e+03
3.530651378631591797e+03,7.862400722503662109e+03,3.522717952728271484e+03
3.549676465988159180e+03,7.780244541168212891e+03,3.589835643768310547e+03
3.568531560897827148e+03,7.699895095825195312e+03,3.654410839080810547e+03
3.586826014518737793e+03,7.621010017395019531e+03,3.716454505920410156e+03
3.604789304733276367e+03,7.543962192535400391e+03,3.776377201080322266e+03
3.622530627250671387e+03,7.467815113067626953e+03,3.833599805831909180e+03
3.639591741561889648e+03,7.393955421447753906e+03,3.888648509979248047e+03
3.656483221054077148e+03,7.321341705322265625e+03,3.941474914550781250e+03
3.672611761093139648e+03,7.250454139709472656e+03,3.992209911346435547e+03
3.688494253158569336e+03,7.180206966400146484e+03,4.040719032287597656e+03
3.703966784477233887e+03,7.111722183227539062e+03,4.087551116943359375e+03
3.719421434402465820e+03,7.043946933746337891e+03,4.132273674011230469e+03
3.734104204177856445e+03,6.976887416839599609e+03,4.175119400024414062e+03
3.749236750602722168e+03,6.911702823638916016e+03,4.216346740722656250e+03
3.763345289230346680e+03,6.846539688110351562e+03,4.255069732666015625e+03
3.777963924407958984e+03,6.783352565765380859e+03,4.292367935180664062e+03
3.791838812828063965e+03,6.721002292633056641e+03,4.327918052673339844e+03
3.805534768104553223e+03,6.658975315093994141e+03,4.361367225646972656e+03
3.819235730171203613e+03,6.599158000946044922e+03,4.393646240234375000e+03
3.832929301261901855e+03,6.539168548583984375e+03,4.424024581909179688e+03
3.846133875846862793e+03,6.480564785003662109e+03,4.453087806701660156e+03
3.859500813484191895e+03,6.422381114959716797e+03,4.480294227600097656e+03
3.872732210159301758e+03,6.365978908538818359e+03,4.506409168243408203e+03
3.885483074188232422e+03,6.309313964843750000e+03,4.530383110046386719e+03
3.898548173904418945e+03,6.254540634155273438e+03,4.553443908691406250e+03
3.910604882240295410e+03,6.199907970428466797e+03,4.574828147888183594e+03
3.922739553451538086e+03,6.145588588714599609e+03,4.594465255737304688e+03
3.934858012199401855e+03,6.093319129943847656e+03,4.613595485687255859e+03
3.946549701690673828e+03,6.040869903564453125e+03,4.630934715270996094e+03
3.958454656600952148e+03,5.989175510406494141e+03,4.646893978118896484e+03
3.969678807258605957e+03,5.937665891647338867e+03,4.661488533020019531e+03
3.981568861007690430e+03,5.887239408493041992e+03,4.675101280212402344e+03
3.992616343498229980e+03,5.837296199798583984e+03,4.687164306640625000e+03
4.003370332717895508e+03,5.787352514266967773e+03,4.697652339935302734e+03
